"#","Old page","Old page URL","Item / card name","CTA text","Shown on","Current destination URL","Booking account","Status","Action needed"
"16","add-ons","https://proposalperfectionnyc.com/add-ons/","Make your Event Shine With Our Event Rentals!","Inquire Now","all devices","http://iframe%20scrolling=no%20src=https://booking.flowerwallsnyc.com/widgets/lead-widget?font=Open%20Sans&fontsize=14&align=left&text=222222FF&bg=FFFFFF00&subcolor=FFFFFFFF&subbg=777777FF&first_name=1&first_name_w=1&last_name=1&last_name_w=2&email=1&email_w=4&telephone=1&telephone_w=5&additional_notes=1&additional_notes_w=19&subtext=Submit&submsg=Thank%20you,%20your%20form%20has%20been%20submitted.%20style=width:100%;border:none;/iframescript%20type=text/javascript%20src=https://booking.flowerwallsnyc.com/app/widget.js%20async%20defer/script","BROKEN — not a valid URL","MALFORMED","REBUILD — href contains a pasted embed snippet, button is dead"
"17","corporate-events-3","https://proposalperfectionnyc.com/corporate-events-3/","Magically Booth","Inquire Now","all devices","https://new-jersey-flower-wall-photo-booth-rentals.checkcherry.com/reservation/set_event?event_category_id=18120","New Jersey Flower Wall & Photo Booth Rentals — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"18","corporate-events-3","https://proposalperfectionnyc.com/corporate-events-3/","Connect with Us","Lets Chat!","all devices","https://new-jersey-flower-wall-photo-booth-rentals.checkcherry.com/reservation/set_event?event_category_id=18120","New Jersey Flower Wall & Photo Booth Rentals — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"19","customsigns","https://proposalperfectionnyc.com/customsigns/","Custom Signs NYC Illuminate Your Proposal with Our Custom Signs in NYC","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/contact/11423","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"20","customsigns","https://proposalperfectionnyc.com/customsigns/","Neon Signs","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=89139","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"21","customsigns","https://proposalperfectionnyc.com/customsigns/","Acrylic Signs","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=89141","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"22","customsigns","https://proposalperfectionnyc.com/customsigns/","Wooden Signs","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=89140","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"23","customsigns","https://proposalperfectionnyc.com/customsigns/","Ceremony Signs","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=26390","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"24","customsigns","https://proposalperfectionnyc.com/customsigns/","Logo Signs","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=26390","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"25","customsigns","https://proposalperfectionnyc.com/customsigns/","Table Signs","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=26390","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"26","customsigns","https://proposalperfectionnyc.com/customsigns/","Flower Wall Rentals","Inquire Now","MOBILE-ONLY","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?event_type_id=70211","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"27","customsigns","https://proposalperfectionnyc.com/customsigns/","Printing Services","Inquire Now","MOBILE-ONLY","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?event_type_id=70211","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"28","customsigns","https://proposalperfectionnyc.com/customsigns/","Photo Booth Rentals","Inquire Now","MOBILE-ONLY","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?event_type_id=70211","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"29","customsigns","https://proposalperfectionnyc.com/customsigns/","Custom Signs","Inquire Now","MOBILE-ONLY","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?event_type_id=70211","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"30","customsigns","https://proposalperfectionnyc.com/customsigns/","Flower Arches","Inquire Now","MOBILE-ONLY","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?event_type_id=70211","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"31","customsigns","https://proposalperfectionnyc.com/customsigns/","Flower Arches","Inquire Now","desktop-only","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_category_id=14078","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"32","customsigns","https://proposalperfectionnyc.com/customsigns/","Flower Arches","Inquire Now","desktop-only","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?event_type_id=70211","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"33","customsigns","https://proposalperfectionnyc.com/customsigns/","Flower Arches","Inquire Now","desktop-only","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_category_id=18120","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"34","customsigns","https://proposalperfectionnyc.com/customsigns/","Flower Arches","Inquire Now","desktop-only","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=26390","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"35","customsigns","https://proposalperfectionnyc.com/customsigns/","Flower Arches","Inquire Now","desktop-only","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=35224","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"36","customsigns","https://proposalperfectionnyc.com/customsigns/","Event Rentals nyc","Lets Chat!","all devices","https://proposal-perfection-nyc.checkcherry.com/contact/11423","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"37","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","(no heading on card)","Inquire Now","all devices","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?package_group_id=32605","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"38","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Rainbow Platinum","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123114","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"39","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Rainbow Gold","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123115","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"40","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Rainbow","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123116","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"41","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Rounded 3D","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123125","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"42","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Gold Rounded Gate Platinum","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123130","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"43","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Golden Rounded Gate","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123119","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"44","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Golden Square Gates","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123121","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"45","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Rounded Platinum Plus","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123136","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"46","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Round Panel Set","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123133","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"47","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","2 Round Panels","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123133","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"48","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Half Rounded Panel Set","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=124913","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"49","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","2 Half Rounded Panels","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123139","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"50","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Set of 3 Rectangular Panels","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123140","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"51","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","2 Rectangular Panels","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123141","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"52","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","White/Gold Panel w/ Greenery","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123132","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"53","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","White & Gold Panel w/ Flower Panel","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123132","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"54","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Golden Frame Set of 3","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123129","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"55","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Golden Gate Frame Set of 2","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123123","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"56","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Black Berry Frame Set of 3","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123128","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"57","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Black Berry Frame Set of 2","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123131","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"58","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Uplighting","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=124916","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"59","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Confetti Machine","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123134","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"60","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Cold Spark Fountains","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123124","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"61","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Fog Machine","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123117","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"62","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Floral Runners","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123091","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"63","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Candles","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123090","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"64","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Rose Petals","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123089","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"65","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Floral Accents","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123088","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"66","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Wall & Gold/Green","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=124920","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"67","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Wall & 2 Panels","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123866","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"68","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Wall & Golden Gates","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123126","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"69","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Custom Packages","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123118","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"70","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Our add-on services will complete your flower wall rental perfectly.","Reserve Now","all devices","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?package_group_id=32605","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"71","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Wall Rentals","Inquire Now","MOBILE-ONLY","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_category_id=18124","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"72","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Printing Services","Inquire Now","MOBILE-ONLY","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_category_id=18124","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"73","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Photo Booth Rentals","Inquire Now","MOBILE-ONLY","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_category_id=18120","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"74","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Custom Signs","Inquire Now","MOBILE-ONLY","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=26390","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"75","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Arches","Inquire Now","MOBILE-ONLY","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?event_type_id=70211","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"76","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Arches","Inquire Now","desktop-only","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=20105","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"77","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Arches","Inquire Now","desktop-only","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=20105","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"78","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Arches","Inquire Now","desktop-only","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_category_id=18120","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"79","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Arches","Inquire Now","desktop-only","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_category_id=18117","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"80","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Flower Arches","Inquire Now","desktop-only","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?package_group_id=35224","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"81","event-rental-new-york","https://proposalperfectionnyc.com/event-rental-new-york/","Event Rentals NYC","Lets Chat!","all devices","https://proposal-perfection-nyc.checkcherry.com/contact/11423","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"82","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Create Unforgettable Experiences With Our Event Rental NYC !","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"83","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Cupid Squared","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123074","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"84","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Heavenly","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123073","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"85","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Infinity","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123072","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"86","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Snow Flake","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123071","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"87","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Rosie","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123070","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"88","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Avirl","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123069","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"89","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Marie","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123067","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"90","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Glady's","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123068","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"91","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Infinity","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123066","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"92","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Snowflake","Inquire Now","all devices","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?event_type_id=113035","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"93","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","C","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=124002","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"94","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Heavenly","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123063","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"95","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Mi'Amor","Inquire Now","all devices","https://atlanta-flower-wall-rentals.checkcherry.com/reservation/set_event?event_type_id=113046","Flower Wall Rentals (Atlanta) — WRONG BRAND","HTTP 200 (live)","REMAP to a Proposal Perfection NYC event/package"
"96","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Artica","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123061","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"97","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Joy","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123060","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"98","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Monterey","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123078","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"99","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Cupid","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123077","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
"100","flower-arch-new-york","https://proposalperfectionnyc.com/flower-arch-new-york/","Infinity","Inquire Now","all devices","https://proposal-perfection-nyc.checkcherry.com/reservation/set_event?event_type_id=123076","Proposal Perfection NYC (CORRECT)","HTTP 200 (live)","Keep as-is"
